2015-09-22 11:37:18,218 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2015-09-22 11:37:18,218 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2015-09-22 11:37:18,229 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2015-09-22 11:37:18,229 [main] INFO  marytts.Prosody Starting power-on self test.
2015-09-22 11:37:18,229 [main] INFO  marytts.Prosody Power-on self test complete.
2015-09-22 11:37:18,229 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2015-09-22 11:37:18,231 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2015-09-22 11:37:18,232 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2015-09-22 11:37:18,234 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2015-09-22 11:37:18,234 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2015-09-22 11:37:18,235 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2015-09-22 11:37:18,235 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2015-09-22 11:37:18,276 [main] INFO  marytts.JTokeniser Starting power-on self test.
2015-09-22 11:37:18,276 [main] INFO  marytts.JTokeniser Power-on self test complete.
2015-09-22 11:37:18,276 [main] INFO  marytts.TokenToWords Module started (FREETTS_TOKENS->FREETTS_WORDS, locale en).
2015-09-22 11:37:18,285 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2015-09-22 11:37:18,291 [main] INFO  marytts.FreeTTSVoices done.
2015-09-22 11:37:18,439 [main] INFO  marytts.TokenToWords Starting power-on self test.
2015-09-22 11:37:18,439 [main] INFO  marytts.TokenToWords Power-on self test complete.
2015-09-22 11:37:18,439 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2015-09-22 11:37:18,439 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2015-09-22 11:37:18,440 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2015-09-22 11:37:18,440 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2015-09-22 11:37:18,440 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2015-09-22 11:37:18,440 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2015-09-22 11:37:18,443 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2015-09-22 11:37:18,443 [main] INFO  marytts.Prosody Starting power-on self test.
2015-09-22 11:37:18,443 [main] INFO  marytts.Prosody Power-on self test complete.
2015-09-22 11:37:18,444 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2015-09-22 11:37:18,444 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2015-09-22 11:37:18,445 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2015-09-22 11:37:18,446 [main] INFO  marytts.Utt2XML WordsEn Module started (FREETTS_WORDS->WORDS, locale en).
2015-09-22 11:37:18,446 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2015-09-22 11:37:18,446 [main] INFO  marytts.FreeTTSVoices done.
2015-09-22 11:37:18,446 [main] INFO  marytts.Utt2XML WordsEn Starting power-on self test.
2015-09-22 11:37:18,446 [main] INFO  marytts.Utt2XML WordsEn Power-on self test complete.
2015-09-22 11:37:18,446 [main] INFO  marytts.XML2Utt TokensEn Module started (TOKENS->FREETTS_TOKENS, locale en).
2015-09-22 11:37:18,446 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2015-09-22 11:37:18,446 [main] INFO  marytts.FreeTTSVoices done.
2015-09-22 11:37:18,446 [main] INFO  marytts.XML2Utt TokensEn Starting power-on self test.
2015-09-22 11:37:18,447 [main] INFO  marytts.XML2Utt TokensEn Power-on self test complete.
2015-09-22 11:37:18,447 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2015-09-22 11:37:18,447 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2015-09-22 11:37:18,447 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2015-09-22 11:37:18,447 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2015-09-22 11:37:19,100 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2015-09-22 11:37:19,101 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2015-09-22 11:37:19,392 [main] INFO  marytts.Voice Registering voice `cmu-slt': female, locale en_US
2015-09-22 11:37:19,400 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt (desire 0)
2015-09-22 11:37:19,400 [main] INFO  marytts.UnitSelectionSynthesizer Loading of voice cmu-slt took 296 milliseconds
2015-09-22 11:37:19,400 [main] INFO  marytts.UnitSelectionSynthesizer started.
2015-09-22 11:37:19,402 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2015-09-22 11:37:19,402 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2015-09-22 11:37:19,402 [main] INFO  marytts.HMMSynthesizer started.
2015-09-22 11:37:19,402 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2015-09-22 11:37:19,497 [main] INFO  marytts.UnitSelectionSynthesizer Power-on self test complete.
2015-09-22 11:37:19,497 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2015-09-22 11:37:19,499 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2015-09-22 11:37:19,499 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
